date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:21	114/114	---M-Z	200	added ('OK')	text/plain	date:Wed,%2022%20Nov%202023%2014:11:21%20GMT	https://wpriverthemes.com/robots.txt		(from )
23:11:21	45467/45467	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202023%2014:11:21%20GMT	https://wpriverthemes.com/gridx/	D:/workspace/selLF/wpriverthemes.com/gridx/index.html	(from )
23:11:21	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-654c9586-8b255597af83c0a5;gz%22	https://wpriverthemes.com/gridx/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	D:/workspace/selLF/wpriverthemes.com/gridx/wp-includes/css/dist/block-library/style.minaec2.css	(from https://wpriverthemes.com/gridx/)
23:11:21	9686/9686	---MCZ	200	added ('OK')	application/rss+xml	etag:%22435de4e084fbd9e43e1eb64f42afc435%22	https://wpriverthemes.com/gridx/feed/	D:/workspace/selLF/wpriverthemes.com/gridx/feed/index.html	(from https://wpriverthemes.com/gridx/)
23:11:21	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-65487efe-8ae6187f292cff2b;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.2	D:/workspace/selLF/wpriverthemes.com/gridx/wp-content/plugins/contact-form-7/includes/css/styles080f.css	(from https://wpriverthemes.com/gridx/)
23:11:22	53435/53435	---M-Z	200	added ('OK')	text/css	etag:%22d0bb-65487f15-4671b2323afcccb1;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.9	D:/workspace/selLF/wpriverthemes.com/gridx/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilitiescb95.css	(from https://wpriverthemes.com/gridx/)
23:11:25	2080044/2080044	---M-Z	200	added ('OK')	text/css	etag:%221fbd2c-6548bd32-c3f9de66efa6e4c7;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/iconoir.css?ver=6.4.1	D:/workspace/selLF/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/iconoiraec2.css	(from https://wpriverthemes.com/gridx/)
23:11:25	774/774	---M-Z	200	added ('OK')	application/rss+xml	etag:%22435de4e084fbd9e43e1eb64f42afc435%22	https://wpriverthemes.com/gridx/comments/feed/	D:/workspace/selLF/wpriverthemes.com/gridx/comments/feed/index.html	(from https://wpriverthemes.com/gridx/)
23:11:26	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-6548bd32-56669259bad6a049;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/bootstrap.min.css?ver=6.4.1	D:/workspace/selLF/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/bootstrap.minaec2.css	(from https://wpriverthemes.com/gridx/)
23:11:26	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-6548bd32-4553119ea1f474b9;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/aos.css?ver=6.4.1	D:/workspace/selLF/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/aosaec2.css	(from https://wpriverthemes.com/gridx/)
